Stock Names
AMARAJABAT
APOLLOTYRE
AUROPHARMA
BPCL
CCL
CGPOWER
CSBBANK
CANFINHOME
CHALET
DLF
EPL
ENGINERSIN
EQUITASBNK
EXIDEIND
FINPIPE
FSL
GAIL
GMRINFRA
GLENMARK
MEDANTA
GPPL
GSFC
GSPL
HINDPETRO
HUDCO
IDFCFIRSTB
IDFC
ITC
INDHOTEL
IOC
JUSTDIAL
L&TFH
M&MFIN
MAHINDCIE
MARICO
MAXHEALTH
NTPC
ONGC
POONAWALLA
POWERGRID
SUPRAJIT
SYNGENE
TATAMOTORS
ZYDUSLIFE
