Stock_name
ASPINWALL
DATAMATICS
FAZE3Q
GANESHHOUC
GUJAPOLLO
HEUBACHIND
IMFA
INDOBORAX
JOCIL
KUANTUM
MUTHOOTCAP
NDTV
OPTIEMUS
POKARNA
RAMRAT
REPL
RUBYMILLS
SONACOMS
THYROCARE
TI
UNIVCABLES
WELINV
WOCKPHARMA
